Timestamp,Dataset,Clustering Algorithm,Algorithm Details,Drift Type,Drift Level,Training Time,Prediction Time,AMI,ARI,Calinski-Harabasz Score,Davies-Bouldin Score,Completeness Score,Fowlkes-Mallows Score,Homogeneity,Completeness,V-Measure,Mutual Information,Normalized Mutual Information,Silhouette Score,Accuracy
2024-04-04 08:47:30.574172,a1,KMeans,"{'algorithm': 'full', 'copy_x': True, 'init': 'random', 'max_iter': 100, 'n_clusters': 20, 'n_init': 50, 'n_jobs': 'deprecated', 'precompute_distances': 'deprecated', 'random_state': None, 'tol': 0.0001, 'verbose': 0}",Knock-out,SEVERE,0.3624632358551025,0.0011460781097412,0.9358386463494212,0.8832610543483395,1783.6705006223433,0.6559817930342646,0.9439553967559288,0.8893545660117042,0.9401523005307868,0.9439553967559288,0.9420500103434244,2.7850036768913564,0.9420500103434244,0.5306921713359347,0.9011299435028248
2024-04-04 08:47:30.946383,a1,KMeans,"{'algorithm': 'full', 'copy_x': True, 'init': 'random', 'max_iter': 100, 'n_clusters': 20, 'n_init': 50, 'n_jobs': 'deprecated', 'precompute_distances': 'deprecated', 'random_state': None, 'tol': 0.0001, 'verbose': 0}",Knock-out,SEVERE,0.3433773517608642,0.0009400844573974,0.974666042272582,0.9690863576587704,1995.9647396384607,0.5774823216320537,0.9775391041867024,0.970663509303666,0.9766760713043284,0.9775391041867024,0.9771073971764918,2.893197674651956,0.9771073971764918,0.5634526816775051,0.9844632768361582
2024-04-04 08:47:31.311478,a1,KMeans,"{'algorithm': 'full', 'copy_x': True, 'init': 'random', 'max_iter': 100, 'n_clusters': 20, 'n_init': 50, 'n_jobs': 'deprecated', 'precompute_distances': 'deprecated', 'random_state': None, 'tol': 0.0001, 'verbose': 0}",Knock-out,SEVERE,0.335294246673584,0.00095796585083,0.9430881992980386,0.8938127079853273,1777.4780663399158,0.5954131330273795,0.9519669181425852,0.899547776511205,0.9452590465408132,0.9519669181425852,0.9486011240964868,2.800131339086985,0.9486011240964868,0.5433816495266297,0.903954802259887
2024-04-04 08:47:31.685602,a1,KMeans,"{'algorithm': 'full', 'copy_x': True, 'init': 'random', 'max_iter': 100, 'n_clusters': 20, 'n_init': 50, 'n_jobs': 'deprecated', 'precompute_distances': 'deprecated', 'random_state': None, 'tol': 0.0001, 'verbose': 0}",Knock-out,SEVERE,0.3484542369842529,0.0008575916290283,0.9513877333010696,0.8948000145111723,1766.5500741490168,0.601675445241445,0.961767898990134,0.9009719163410684,0.950497477430644,0.961767898990134,0.9560994756647624,2.8156490900738027,0.9560994756647624,0.5428237431908094,0.9166666666666666
2024-04-04 08:47:32.072505,a1,KMeans,"{'algorithm': 'full', 'copy_x': True, 'init': 'random', 'max_iter': 100, 'n_clusters': 20, 'n_init': 50, 'n_jobs': 'deprecated', 'precompute_distances': 'deprecated', 'random_state': None, 'tol': 0.0001, 'verbose': 0}",Knock-out,SEVERE,0.3613293170928955,0.0009500980377197,0.9438045132739892,0.883799358830626,1775.6130112582146,0.5792089643246411,0.9539213344877384,0.8904031885589763,0.94464356261755,0.9539213344877384,0.9492597795748792,2.798308097269263,0.9492597795748792,0.5523546202576146,0.9067796610169492
2024-04-04 08:47:22.154058,a2,KMeans,"{'algorithm': 'elkan', 'copy_x': True, 'init': 'k-means++', 'max_iter': 1600, 'n_clusters': 35, 'n_init': 50, 'n_jobs': 'deprecated', 'precompute_distances': 'deprecated', 'random_state': None, 'tol': 0.0001, 'verbose': 0}",Knock-out,SEVERE,1.006169319152832,0.0009553432464599,0.9793511357263146,0.9712801769776482,3800.106871540927,0.5442718380292971,0.9823254094451208,0.9721098683348244,0.9823609039496252,0.9823254094451208,0.9823431563767469,3.467204111723908,0.9823431563767469,0.5817220551968215,0.9859265050820952
2024-04-04 08:47:23.257020,a2,KMeans,"{'algorithm': 'elkan', 'copy_x': True, 'init': 'k-means++', 'max_iter': 1600, 'n_clusters': 35, 'n_init': 50, 'n_jobs': 'deprecated', 'precompute_distances': 'deprecated', 'random_state': None, 'tol': 0.0001, 'verbose': 0}",Knock-out,SEVERE,1.0431115627288818,0.0014100074768066,0.9808930717538156,0.9743799298977976,3804.097694770195,0.542565115303082,0.98366082385568,0.9751201662801748,0.9836623825853767,0.98366082385568,0.9836616032199108,3.47179762929882,0.9836616032199108,0.5827864511290066,0.9874902267396404
2024-04-04 08:47:24.338871,a2,KMeans,"{'algorithm': 'elkan', 'copy_x': True, 'init': 'k-means++', 'max_iter': 1600, 'n_clusters': 35, 'n_init': 50, 'n_jobs': 'deprecated', 'precompute_distances': 'deprecated', 'random_state': None, 'tol': 0.0001, 'verbose': 0}",Knock-out,SEVERE,1.026930570602417,0.0009984970092773,0.9805525516514376,0.972916258695106,3806.777433756765,0.542591435000545,0.983355504647646,0.973698700631892,0.9833854501961256,0.983355504647646,0.9833704771939108,3.470820207340332,0.9833704771939108,0.5822991287220382,0.986708365910868
2024-04-04 08:47:25.439770,a2,KMeans,"{'algorithm': 'elkan', 'copy_x': True, 'init': 'k-means++', 'max_iter': 1600, 'n_clusters': 35, 'n_init': 50, 'n_jobs': 'deprecated', 'precompute_distances': 'deprecated', 'random_state': None, 'tol': 0.0001, 'verbose': 0}",Knock-out,SEVERE,1.0474977493286133,0.0009355545043945,0.980054415302101,0.9728077846258534,3808.743858834424,0.5401352176653251,0.9829324082064496,0.9735933763273928,0.982956610122619,0.9829324082064496,0.9829445090155604,3.469306633194458,0.9829445090155602,0.5819553580674152,0.986708365910868
2024-04-04 08:47:26.431634,a2,KMeans,"{'algorithm': 'elkan', 'copy_x': True, 'init': 'k-means++', 'max_iter': 1600, 'n_clusters': 35, 'n_init': 50, 'n_jobs': 'deprecated', 'precompute_distances': 'deprecated', 'random_state': None, 'tol': 0.0001, 'verbose': 0}",Knock-out,SEVERE,0.927466869354248,0.0009169578552246,0.9805525516514376,0.972916258695106,3798.520298994267,0.5452529849442997,0.983355504647646,0.973698700631892,0.9833854501961256,0.983355504647646,0.9833704771939108,3.470820207340332,0.9833704771939108,0.5817223459460233,0.986708365910868
